2026-05-26T18:34:24.832121830Z [inf]  Starting Container
2026-05-26T18:34:26.891479656Z [inf]  ⚠️  WARNING: Using default API key. Update bot_config.ini with your Riot API key.
2026-05-26T18:34:26.891487520Z [err]  2026-05-26 18:34:24,780 - INFO - Configuration loaded from environment variables
2026-05-26T18:34:26.891494589Z [err]  2026-05-26 18:34:24,780 - WARNING - Using default Riot API key - please update bot_config.ini with a valid key
2026-05-26T18:34:26.891503503Z [inf]  ✅ Champions loaded from cache
2026-05-26T18:34:26.891510462Z [err]  2026-05-26 18:34:26,235 - INFO - Successfully logged onto Twitch WS: ireliaig99
2026-05-26T18:34:26.891517649Z [inf]  🚀 Bot conectado como ireliaig99
2026-05-26T18:34:26.891524886Z [inf]  📡 [Bot.event_ready] Connected channels: [<Channel name: ruben_irpg>]
2026-05-26T18:34:26.891532191Z [inf]  📡 [Bot.event_ready] Configured channel: ruben_irpg
2026-05-26T18:34:26.891539101Z [inf]  📡 [Bot.event_ready] Total connected channels: 1
2026-05-26T18:34:26.891545497Z [inf]  🚀 [actualizar_datos] STARTING game update loop...
2026-05-26T18:34:26.891553101Z [err]  2026-05-26 18:34:26,335 - INFO - Successfully retrieved PUUID for TheVirginVeigar#RPG
2026-05-26T18:34:26.891560566Z [inf]  🔄 Updating match cache on startup...
2026-05-26T18:34:26.891569107Z [inf]  🔄 Updating match cache (max 50 matches)...
2026-05-26T18:34:57.842339956Z [err]  2026-05-26 18:34:49,225 - WARNING - Rate limit reached, waiting 97.0 seconds
2026-05-26T18:36:33.689662899Z [inf]  📊 Processing match 21/50
2026-05-26T18:36:54.643361632Z [err]  2026-05-26 18:36:50,288 - WARNING - Rate limit reached, waiting 96.0 seconds
2026-05-26T18:38:28.933605164Z [inf]  📊 Processing match 41/50
2026-05-26T18:38:49.063671293Z [inf]  ✅ Cache updated with 50 ranked games: 21W/29L
2026-05-26T18:38:49.063676866Z [inf]  💾 Streaks saved to disk
2026-05-26T18:38:49.063682930Z [inf]  ✅ Cache loaded: 21W/29L
2026-05-26T18:38:49.063689457Z [inf]  ✅ Last game recovered from persistence or API
2026-05-26T18:38:49.063694507Z [inf]  💾 Streaks saved to disk
2026-05-26T18:38:49.063700152Z [err]  2026-05-26 18:38:42,984 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:38:49.063706182Z [err]  2026-05-26 18:38:42,988 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:38:49.063711409Z [err]  2026-05-26 18:38:48,045 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:38:49.063717469Z [err]  2026-05-26 18:38:48,048 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:38:54.382167421Z [err]  2026-05-26 18:38:53,094 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:38:54.382173441Z [err]  2026-05-26 18:38:53,097 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:38:58.529146021Z [err]  2026-05-26 18:38:58,155 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:38:58.529152725Z [err]  2026-05-26 18:38:58,159 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:39:04.479001193Z [err]  2026-05-26 18:39:03,215 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:39:04.479237824Z [err]  2026-05-26 18:39:03,217 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:39:09.423368973Z [err]  2026-05-26 18:39:08,266 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:39:09.423378792Z [err]  2026-05-26 18:39:08,268 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:39:15.250232484Z [err]  2026-05-26 18:39:13,317 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:39:15.250237576Z [err]  2026-05-26 18:39:13,323 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:39:19.496153742Z [err]  2026-05-26 18:39:18,329 - WARNING - Rate limit reached, waiting 67.9 seconds
2026-05-26T18:40:31.392070541Z [err]  2026-05-26 18:40:26,334 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:31.392074851Z [err]  2026-05-26 18:40:26,337 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:32.800998499Z [err]  2026-05-26 18:40:31,382 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:32.801005220Z [err]  2026-05-26 18:40:31,384 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:37.446191963Z [err]  2026-05-26 18:40:36,437 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:37.446197047Z [err]  2026-05-26 18:40:36,445 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:42.403678792Z [err]  2026-05-26 18:40:41,492 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:42.403689415Z [err]  2026-05-26 18:40:41,494 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:47.280001022Z [err]  2026-05-26 18:40:46,570 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:47.280006132Z [err]  2026-05-26 18:40:46,573 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:52.483372556Z [err]  2026-05-26 18:40:51,623 - ERROR - Spectator API error 403: {"status":{"message":"Forbidden","status_code":403}}
2026-05-26T18:40:52.483380985Z [err]  2026-05-26 18:40:51,625 - WARNING - Spectator API transient error detected; keeping previous state
2026-05-26T18:40:57.937018511Z [err]  2026-05-26 18:40:56,758 - WARNING - Spectator API transient error detected; keeping previous state
